college_name,sat_score,state,institution_type,major,admission_rate,undergrad_enrollment,tuition
University Of Holy Cross,1154,LA,Private,Unknown,0.9901,405,33550
Franciscan Missionaries Of Our Lady University,1154,LA,Private,Unknown,0.8294,826,16890
Pat Goins Beauty Schools Formerly Paul Mitchell The School-Shreveport,1154,LA,Private,Unknown,0.7778,102,18700
Celebrity Stylist Beauty School,1154,LA,Private,Unknown,0.7778,45,18700
Pineville Beauty School,1154,LA,Private,Unknown,0.7778,45,18700
Aveda Arts & Sciences Institute-Covington,1154,LA,Private,Unknown,0.7778,2538,18700
Saint Joseph Seminary College,1154,LA,Private,Unknown,0.7778,91,49944
Lasalle Tech,1154,LA,Private,Unknown,0.7778,159,18700
Fletcher Technical Community College,1154,LA,Public,Unknown,0.7778,1999,5519
Remington College-Lafayette Campus,1154,LA,Private,Unknown,0.7778,247,22355
Sowela Technical Community College,1154,LA,Public,Unknown,0.7778,2979,5565
Stevensons Academy Of Hair Design,1154,LA,Private,Unknown,0.7778,106,18700
Southeastern Louisiana University,1090,LA,Public,Unknown,0.9428,9514,25837
Southern University And A & M College,938,LA,Public,Unknown,0.4987,5323,25984
Southern University At New Orleans,910,LA,Public,Unknown,0.6021,1095,25054
Southern University At Shreveport,1154,LA,Public,Unknown,0.7778,1974,20850
University Of Louisiana At Lafayette,1219,LA,Public,Unknown,0.8883,12269,29176
Northshore Technical Community College,1154,LA,Public,Unknown,0.7778,2156,5503
Tulane University Of Louisiana,1443,LA,Private,Unknown,0.1459,7759,87446
Xavier University Of Louisiana,1077,LA,Private,Unknown,0.7448,2534,41754
College Of The Atlantic,1154,ME,Private,Unknown,0.6502,358,58266
Bates College,1446,ME,Private,Unknown,0.1302,1753,83532
Beal University,1154,ME,Private,Unknown,0.7778,503,18700
Bowdoin College,1514,ME,Private,Unknown,0.0802,1846,85100
Maine College Of Health Professions,910,ME,Private,Unknown,0.3333,228,19027
Central Maine Community College,1154,ME,Public,Unknown,0.7778,2828,17624
Colby College,1500,ME,Private,Unknown,0.0683,2282,85420
Eastern Maine Community College,1154,ME,Public,Unknown,0.7778,1692,21817
Kennebec Valley Community College,1154,ME,Public,Unknown,0.7778,1538,4962
The Landing School,1154,ME,Private,Unknown,0.7778,43,29743
University Of Maine At Augusta,1154,ME,Public,Unknown,0.7778,2759,22118
University Of Maine At Farmington,1040,ME,Public,Unknown,0.9763,1131,26363
University Of Maine At Fort Kent,1154,ME,Public,Unknown,0.9907,638,21577
University Of Maine,1154,ME,Public,Unknown,0.9571,8341,28572
Maine Maritime Academy,1185,ME,Public,Unknown,0.614,888,31172
University Of Maine At Presque Isle,1154,ME,Public,Unknown,0.9709,1362,22690
University Of New England,1154,ME,Private,Unknown,0.8884,2189,63690
Northern Maine Community College,1154,ME,Public,Unknown,0.7778,577,19620
Empire Beauty School-Maine,1154,ME,Private,Unknown,0.7778,118,18700
Maine College Of Art & Design,1154,ME,Private,Unknown,0.7755,415,60398
Saint Joseph'S College Of Maine,1030,ME,Private,Unknown,0.8172,930,60670
Spa Tech Institute-Westbrook,1154,ME,Private,Unknown,0.7778,261,18700
Southern Maine Community College,1154,ME,Public,Unknown,0.7778,5279,18065
University Of Southern Maine,1130,ME,Public,Unknown,0.7931,4245,26812
Thomas College,1154,ME,Private,Unknown,0.9707,688,48274
Unity Environmental University,1154,ME,Private,Unknown,0.818,5619,26876
Washington County Community College,1154,ME,Public,Unknown,0.7778,397,13495
Allegany College Of Maryland,1154,MD,Public,Unknown,0.7778,1743,25150
Anne Arundel Community College,1154,MD,Public,Unknown,0.7778,8570,8786
Award Beauty School,1154,MD,Private,Unknown,0.7778,132,18700
Baltimore Studio Of Hair Design,1154,MD,Private,Unknown,0.7778,39,18700
Baltimore City Community College,1154,MD,Public,Unknown,0.7778,3234,4774
University Of Baltimore,1060,MD,Public,Unknown,0.8555,1276,11372
Bowie State University,935,MD,Public,Unknown,0.8354,5207,26431
Capitol Technology University,1154,MD,Private,Unknown,0.7794,259,45794
Cecil College,1154,MD,Public,Unknown,0.7778,1369,10760
College Of Southern Maryland,1154,MD,Public,Unknown,0.7778,4422,8350
Chesapeake College,1154,MD,Public,Unknown,0.7778,1275,7494
Washington Adventist University,920,MD,Private,Unknown,0.4536,522,37840
Coppin State University,1154,MD,Public,Unknown,0.4956,1756,25767
Del-Mar-Va Beauty Academy,1154,MD,Private,Unknown,0.7778,43,18700
North American Trade Schools,1154,MD,Private,Unknown,0.7778,529,18700
Frederick Community College,1154,MD,Public,Unknown,0.7778,4116,8644
Frostburg State University,1154,MD,Public,Unknown,0.8944,2849,27056
Garrett College,1154,MD,Public,Unknown,0.7778,424,21436
Goucher College,1225,MD,Private,Unknown,0.729,948,71900
Hagerstown Community College,1154,MD,Public,Unknown,0.7778,2783,7996
Harford Community College,1154,MD,Public,Unknown,0.7778,3628,7602
Hood College,1154,MD,Private,Unknown,0.7813,1202,65142
Howard Community College,1154,MD,Public,Unknown,0.7778,6779,9840
Aveda Institute-Maryland,1154,MD,Private,Unknown,0.7778,84,18700
Johns Hopkins University,1553,MD,Private,Unknown,0.0756,5617,86065
Lincoln College Of Technology-Columbia,1154,MD,Private,Unknown,0.7778,1075,18700
Loyola University Maryland,1292,MD,Private,Unknown,0.7633,3975,75590
University Of Maryland Global Campus,1154,MD,Public,Unknown,0.7778,48238,7992
University Of Maryland Baltimore,1154,MD,Public,Unknown,0.7778,959,18700
University Of Maryland-Baltimore County,1299,MD,Public,Unknown,0.7424,10434,32170
University Of Maryland-College Park,1463,MD,Public,Unknown,0.4484,30246,30885
Maryland Institute College Of Art,1207,MD,Private,Unknown,0.7729,1319,78224
University Of Maryland Eastern Shore,1154,MD,Public,Unknown,0.9036,2165,26554
Fortis Institute-Towson,1154,MD,Private,Unknown,0.7778,373,18700
Montgomery Beauty School,1154,MD,Private,Unknown,0.7778,68,18700
Montgomery College,1154,MD,Public,Unknown,0.7778,13519,11630
Morgan State University,984,MD,Public,Unknown,0.8296,8293,26438
Mount St. Mary'S University,1141,MD,Private,Unknown,0.7186,1806,64740
Ner Israel Rabbinical College,1154,MD,Private,Unknown,0.7941,292,26750
Hair Academy,1154,MD,Private,Unknown,0.7778,241,18700
Notre Dame Of Maryland University,1154,MD,Private,Unknown,0.8649,684,60545
Prince George'S Community College,1154,MD,Public,Unknown,0.7778,8049,7694
Maryland Beauty Academy Of Essex,1154,MD,Private,Unknown,0.7778,36,18700
Salisbury University,1250,MD,Public,Unknown,0.8863,6056,29530
St. Mary'S College Of Maryland,1232,MD,Public,Unknown,0.7539,1566,32519
St. John'S College,1381,MD,Private,Unknown,0.4429,488,55540
Towson University,1166,MD,Public,Unknown,0.828,16400,31390
Maryland University Of Integrative Health,1154,MD,Private,Unknown,0.7778,1107,18700
United States Naval Academy,1308,MD,Public,Unknown,0.0936,4465,18700
Stevenson University,1154,MD,Private,Unknown,0.832,3027,59986
Washington College,1274,MD,Private,Unknown,0.6554,890,73896
Mcdaniel College,1154,MD,Private,Unknown,0.8358,1652,66145
Wor-Wic Community College,1154,MD,Public,Unknown,0.7778,2047,8340
Hult International Business School,1154,MA,Private,Unknown,0.5335,694,79075
American International College,1154,MA,Private,Unknown,0.969,1097,62300
Amherst College,1494,MA,Private,Unknown,0.0982,1907,87640
Anna Maria College,1154,MA,Private,Unknown,0.8956,948,63374
Assabet Valley Regional Technical School,1154,MA,Public,Unknown,0.3333,48,18700
Assumption University,1154,MA,Private,Unknown,0.8654,1664,67360
Babson College,1435,MA,Private,Unknown,0.1974,2696,80192
Bancroft School Of Massage Therapy,1154,MA,Private,Unknown,0.7778,51,18700
Boston Baptist College,1154,MA,Private,Unknown,1.0,31,29195
Bay Path University,1154,MA,Private,Unknown,0.735,1186,54243
Bentley University,1340,MA,Private,Unknown,0.4844,4288,79960
Berklee College Of Music,1154,MA,Private,Unknown,0.4991,7510,73418
Berkshire Community College,1154,MA,Public,Unknown,0.7778,1100,7172
Boston Architectural College,1154,MA,Private,Unknown,0.7778,269,28000
Boston Graduate School Of Psychoanalysis Inc,1154,MA,Private,Unknown,0.7778,1107,18700
Boston College,1501,MA,Private,Unknown,0.1565,9865,89605
Boston University,1473,MA,Private,Unknown,0.1085,17850,86363
Brandeis University,1473,MA,Private,Unknown,0.3531,3663,86242
Bridgewater State University,1127,MA,Public,Unknown,0.8919,7899,30145
Bristol Community College,1154,MA,Public,Unknown,0.7778,5073,7412
Signature Healthcare Brockton Hospital School Of Nursing,1154,MA,Private,Unknown,0.5217,152,18700
Bunker Hill Community College,1154,MA,Public,Unknown,0.7778,7322,7536
Cambridge College,1154,MA,Private,Unknown,0.7778,591,19572
Cape Cod Community College,1154,MA,Public,Unknown,0.7778,2223,6912
Catherine Hinds Institute Of Esthetics,1154,MA,Private,Unknown,0.7778,163,18700
Laboure College Of Healthcare,1154,MA,Private,Unknown,0.4054,717,34863
Clark University,1339,MA,Private,Unknown,0.4167,2336,68700
Conway School Of Landscape Design,1154,MA,Private,Unknown,0.7778,1107,18700
Curry College,1130,MA,Private,Unknown,0.9205,1757,67120
Dean College,1154,MA,Private,Unknown,0.7371,1142,66652
Diman Regional Technical Institute,1154,MA,Public,Unknown,0.6364,56,18700
National Aviation Academy Of New England,1154,MA,Private,Unknown,0.7778,210,18700
Eastern Nazarene College,1035,MA,Private,Unknown,0.5896,378,43860
Emerson College,1359,MA,Private,Unknown,0.4748,4145,80612
Emmanuel College,1263,MA,Private,Unknown,0.806,1874,67054
Endicott College,1263,MA,Private,Unknown,0.7229,3101,59888
Rob Roy Academy-Fall River,1154,MA,Private,Unknown,0.7778,98,18700
Fisher College,1154,MA,Private,Unknown,0.7075,1138,57900
Fitchburg State University,1114,MA,Public,Unknown,0.8994,2825,28871
Framingham State University,1150,MA,Public,Unknown,0.8487,2556,28994
Benjamin Franklin Cummings Institute Of Technology,1154,MA,Private,Unknown,0.7778,412,20506
Gordon College,1268,MA,Private,Unknown,0.5878,1247,42950
Gordon-Conwell Theological Seminary,1154,MA,Private,Unknown,0.7778,1107,18700
Greenfield Community College,1154,MA,Public,Unknown,0.7778,1232,7460
Hampshire College,1154,MA,Private,Unknown,0.7035,716,74274
Harvard University,1553,MA,Private,Unknown,0.0345,7755,86705
Hebrew College,1154,MA,Private,Unknown,0.7778,0,18700
Hellenic College-Holy Cross Greek Orthodox School Of Theology,1154,MA,Private,Unknown,0.9048,49,41282
College Of The Holy Cross,1354,MA,Private,Unknown,0.211,3015,80500
Holyoke Community College,1154,MA,Public,Unknown,0.7778,3164,7010
Lasell University,1159,MA,Private,Unknown,0.8225,1152,43000
Lawrence Memorial Hospital School Of Nursing,1154,MA,Private,Unknown,0.7778,195,29767
Lesley University,1154,MA,Private,Unknown,0.9442,1252,55580
Longy School Of Music Of Bard College,1154,MA,Private,Unknown,0.844,34,53450
Lowell Academy Hairstyling Institute,1154,MA,Private,Unknown,0.7778,59,18700
University Of Massachusetts-Lowell,1253,MA,Public,Unknown,0.8524,11632,34564
University Of Massachusetts-Amherst,1393,MA,Public,Unknown,0.5777,23694,34666
University Of Massachusetts-Boston,1188,MA,Public,Unknown,0.8296,11848,37074
Massachusetts Bay Community College,1154,MA,Public,Unknown,0.7778,3156,7616
Mcphs University,1216,MA,Private,Unknown,0.8521,3474,67722
Massachusetts College Of Art And Design,1154,MA,Public,Unknown,0.7747,1812,35860
Massachusetts Institute Of Technology,1553,MA,Private,Unknown,0.0474,4571,82730
Massachusetts Maritime Academy,1154,MA,Public,Unknown,0.9455,1270,31367
University Of Massachusetts Chan Medical School,1154,MA,Public,Unknown,0.7778,1107,18700
William James College,1154,MA,Private,Unknown,0.7778,36,18700
Massachusetts School Of Barbering,1154,MA,Private,Unknown,0.7778,48,18700
Massasoit Community College,1154,MA,Public,Unknown,0.7778,3699,6816
Merrimack College,1154,MA,Private,Unknown,0.7361,4043,74281
Mgh Institute Of Health Professions,1154,MA,Private,Unknown,0.7778,112,18700
Middlesex Community College,1154,MA,Public,Unknown,0.7778,4658,7148
Montserrat College Of Art,1154,MA,Private,Unknown,0.7778,261,60775
Mount Holyoke College,1422,MA,Private,Unknown,0.3829,2198,84980
Mount Wachusett Community College,1154,MA,Public,Unknown,0.7778,2554,7540
Rob Roy Academy-New Bedford,1154,MA,Private,Unknown,0.7778,15,18700
The New England Conservatory Of Music,1154,MA,Private,Unknown,0.4275,371,81277
New England College Of Optometry,1154,MA,Private,Unknown,0.7778,1107,18700
New England Law-Boston,1154,MA,Private,Unknown,0.7778,1107,18700
Nichols College,1110,MA,Private,Unknown,0.8814,1152,59025
Massachusetts College Of Liberal Arts,1154,MA,Public,Unknown,0.9235,748,29668
North Bennet Street School,1154,MA,Private,Unknown,0.7778,151,18700
North Shore Community College,1154,MA,Public,Unknown,0.7778,4055,6952
Northeastern University,1505,MA,Private,Unknown,0.0565,15719,84731
Northern Essex Community College,1154,MA,Public,Unknown,0.7778,3350,7088
College Of Our Lady Of The Elms,1240,MA,Private,Unknown,0.8766,951,61077
Pope St John Xxiii National Seminary,1154,MA,Private,Unknown,0.7778,1107,18700
Quincy College,1154,MA,Public,Unknown,0.7778,2126,9536
Quinsigamond Community College,1154,MA,Public,Unknown,0.7778,5413,6934
Regis College,1154,MA,Private,Unknown,0.8928,1061,68120
Roxbury Community College,1154,MA,Public,Unknown,0.7778,1583,8096
Saint John'S Seminary,1154,MA,Private,Unknown,0.7778,14,18700
Salem State University,1090,MA,Public,Unknown,0.9557,4286,31340
Simmons University,1332,MA,Private,Unknown,0.66,1750,66472
Bard College At Simon'S Rock,1154,MA,Private,Unknown,0.9721,237,86482
Smith College,1480,MA,Private,Unknown,0.1973,2501,86030
Southeastern Technical Institute,1154,MA,Public,Unknown,0.4917,140,18700
Springfield College,1120,MA,Private,Unknown,0.7023,1916,61559
Springfield Technical Community College,1154,MA,Public,Unknown,0.7778,3965,6720
University Of Massachusetts-Dartmouth,1152,MA,Public,Unknown,0.9216,5289,36320
Stonehill College,1154,MA,Private,Unknown,0.7256,2477,74005
Suffolk University,1197,MA,Private,Unknown,0.8474,4434,68240
Rob Roy Academy-Taunton,1154,MA,Private,Unknown,0.7778,21,18700
Tufts University,1513,MA,Private,Unknown,0.1013,6804,88300
Wellesley College,1513,MA,Private,Unknown,0.1391,2318,86290
Wentworth Institute Of Technology,1226,MA,Private,Unknown,0.8537,3641,63180
Western New England University,1231,MA,Private,Unknown,0.8326,2508,64390
Westfield State University,1154,MA,Public,Unknown,0.8074,3481,29696
Wheaton College (Massachusetts),1321,MA,Private,Unknown,0.7133,1744,79510
Williams College,1527,MA,Private,Unknown,0.0999,2060,84860
Worcester Polytechnic Institute,1154,MA,Private,Unknown,0.585,5344,79542
Worcester State University,1145,MA,Public,Unknown,0.8986,3963,27545
Adrian College,1030,MI,Private,Unknown,0.6837,1635,57004
Albion College,1154,MI,Private,Unknown,0.8316,1347,70116
Hillsdale Beauty College,1154,MI,Private,Unknown,0.7778,32,18700
Northwestern Technological Institute,1154,MI,Private,Unknown,0.7778,689,18700
Alma College,1154,MI,Private,Unknown,0.6566,1208,63940
Alpena Community College,1154,MI,Public,Unknown,0.7778,715,17869
Andrews University,1177,MI,Private,Unknown,0.874,1262,45960
Aquinas College,1087,MI,Private,Unknown,0.7106,1201,53710
Baker College,1080,MI,Private,Unknown,0.875,3026,26710
Bay De Noc Community College,1154,MI,Public,Unknown,0.7778,1100,26416
Bayshire Academy Of Beauty Craft Inc,1154,MI,Private,Unknown,0.7778,104,18700
Calvin University,1205,MI,Private,Unknown,0.7131,2921,54920
Calvin Theological Seminary,1154,MI,Private,Unknown,0.7778,1107,18700
Carnegie Institute,1154,MI,Private,Unknown,0.7778,103,15527
Michigan School Of Psychology,1154,MI,Private,Unknown,0.7778,1107,18700
Central Michigan University,1099,MI,Public,Unknown,0.9101,9916,31058
Mott Community College,1154,MI,Public,Unknown,0.7778,5152,6501
Empire Beauty School-Michigan,1154,MI,Private,Unknown,0.7778,285,18700
Cleary University,1154,MI,Private,Unknown,0.4975,774,42642
Concordia University Ann Arbor,1250,MI,Private,Unknown,0.7209,918,52610
Cranbrook Academy Of Art,1154,MI,Private,Unknown,0.7778,1107,18700
College For Creative Studies,1154,MI,Private,Unknown,0.9276,1285,67865
Davenport University,1154,MI,Private,Unknown,0.9705,3213,39242
David Pressley School Of Cosmetology,1154,MI,Private,Unknown,0.7778,263,18700
Delta College,1154,MI,Public,Unknown,0.7778,6061,8900
Detroit Business Institute-Downriver,1154,MI,Private,Unknown,0.5,141,18700
Miat College Of Technology,1154,MI,Private,Unknown,0.9964,1645,18560
University Of Detroit Mercy,1136,MI,Private,Unknown,0.8014,2289,47490
Dorsey College,1154,MI,Private,Unknown,0.7778,547,32160
Eastern Michigan University,1046,MI,Public,Unknown,0.8135,10751,31854
Creative Hair School Of Cosmetology,1154,MI,Private,Unknown,0.7778,48,18700
Ferris State University,1001,MI,Public,Unknown,0.8058,8087,27716
Glen Oaks Community College,1154,MI,Public,Unknown,0.7778,577,21390
Kettering University,1219,MI,Private,Unknown,0.7909,1279,61250
Gogebic Community College,1154,MI,Public,Unknown,0.7778,508,19559
Grace Christian University,1154,MI,Private,Unknown,0.9931,707,27316
Cornerstone University,1154,MI,Private,Unknown,0.732,1387,44470
Grand Rapids Community College,1154,MI,Public,Unknown,0.7778,10530,8665
Grand Valley State University,1079,MI,Public,Unknown,0.9469,19073,29027
Great Lakes Christian College,1154,MI,Private,Unknown,0.7778,130,31940
Henry Ford College,1154,MI,Public,Unknown,0.7778,8695,7276
Hillsdale College,1433,MI,Private,Unknown,0.2059,1563,48472
Hope College,1237,MI,Private,Unknown,0.7585,3274,55790
Jackson College,1154,MI,Public,Unknown,0.7778,3563,22837
Kalamazoo College,1270,MI,Private,Unknown,0.7623,1175,74208
Kalamazoo Valley Community College,1154,MI,Public,Unknown,0.7778,4885,8396
Kellogg Community College,1154,MI,Public,Unknown,0.7778,2781,7818
Kirtland Community College,1154,MI,Public,Unknown,0.7778,965,21975
Michigan College Of Beauty-Monroe,1154,MI,Private,Unknown,0.7778,100,18700
Lake Michigan College,1154,MI,Public,Unknown,0.7778,1811,19962
Lake Superior State University,1154,MI,Public,Unknown,0.6801,1391,28983
Lansing Community College,1154,MI,Public,Unknown,0.7778,7756,8120
Lawrence Technological University,1154,MI,Private,Unknown,0.8025,1701,60454
M J Murphy Beauty College Of Mount Pleasant,1154,MI,Private,Unknown,0.7778,35,18700
Macomb Community College,1154,MI,Public,Unknown,0.7778,14285,8526
Madonna University,1000,MI,Private,Unknown,0.9293,1637,43950
Rochester University,1154,MI,Private,Unknown,0.6531,827,43914
University Of Michigan-Ann Arbor,1473,MI,Public,Unknown,0.1794,33488,34782
The Michigan Barber School,1154,MI,Private,Unknown,0.7778,82,18700
Michigan State University,1261,MI,Public,Unknown,0.8392,40243,32668
Michigan Technological University,1243,MI,Public,Unknown,0.8794,5829,34758
University Of Michigan-Dearborn,1127,MI,Public,Unknown,0.5863,5882,16244
University Of Michigan-Flint,1104,MI,Public,Unknown,0.6883,4157,29886
Mid Michigan College,1154,MI,Public,Unknown,0.7778,2002,9906
Monroe County Community College,1154,MI,Public,Unknown,0.7778,1484,9004
Montcalm Community College,1154,MI,Public,Unknown,0.7778,1040,9270
Muskegon Community College,1154,MI,Public,Unknown,0.7778,2781,12660
North Central Michigan College,1154,MI,Public,Unknown,0.7778,897,24324
Northern Michigan University,1154,MI,Public,Unknown,0.6995,6425,28924
Northwestern Michigan College,1154,MI,Public,Unknown,0.7778,2668,22731
Northwood University,1154,MI,Private,Unknown,0.839,1900,49938
Oakland Community College,1154,MI,Public,Unknown,0.7778,11772,7426
Oakland University,1110,MI,Public,Unknown,0.7024,12450,29303
The University Of Olivet,1154,MI,Private,Unknown,0.9711,918,48928
Port Huron Cosmetology College,1154,MI,Private,Unknown,0.7778,52,18700
Kuyper College,1154,MI,Private,Unknown,0.3385,119,39480
Ross Medical Education Center-Lansing,1154,MI,Private,Unknown,0.7778,96,18700
Ross Medical Education Center-Warren,1154,MI,Private,Unknown,0.7778,153,18700
Ross Medical Education Center-Flint,1154,MI,Private,Unknown,0.7778,87,18700
Sacred Heart Major Seminary,1154,MI,Private,Unknown,1.0,176,43185
Saginaw Valley State University,1051,MI,Public,Unknown,0.7288,6004,26280
Schoolcraft Community College District,1154,MI,Public,Unknown,0.7778,6626,7762
Siena Heights University,1033,MI,Private,Unknown,0.6656,1533,46254
St Clair County Community College,1154,MI,Public,Unknown,0.7778,1955,27414
Southwestern Michigan College,1154,MI,Public,Unknown,0.7778,1396,20174
Spring Arbor University,1072,MI,Private,Unknown,0.3733,990,46120
Michigan Career And Technical Institute,1154,MI,Public,Unknown,0.7778,118,16600
Thomas M Cooley Law School,1154,MI,Private,Unknown,0.7778,1107,18700
Twin City Beauty College,1154,MI,Private,Unknown,0.7778,269,18700
Walsh College,1154,MI,Private,Unknown,0.7778,535,18700
Washtenaw Community College,1154,MI,Public,Unknown,0.7778,7736,5352
Wayne County Community College District,1154,MI,Public,Unknown,0.7778,7848,5833
Wayne State University,1147,MI,Public,Unknown,0.8203,15676,31785
West Shore Community College,1154,MI,Public,Unknown,0.7778,651,8030
Paul Mitchell The School-Grand Rapids,1154,MI,Private,Unknown,0.7778,84,18700
Western Michigan University,1108,MI,Public,Unknown,0.8468,12704,30770
Western Theological Seminary,1154,MI,Private,Unknown,0.7778,1107,18700
Academy College,1154,MN,Private,Unknown,0.7778,112,20354
Alexandria Technical & Community College,1154,MN,Public,Unknown,0.7778,1438,7413
Anoka Technical College,1154,MN,Public,Unknown,0.7778,1522,7727
Anoka-Ramsey Community College,1154,MN,Public,Unknown,0.7778,3983,6882
Augsburg University,1154,MN,Private,Unknown,0.7653,2429,64610
Riverland Community College,1154,MN,Public,Unknown,0.7778,1895,7850
Northwest Technical College,1154,MN,Public,Unknown,0.7778,654,7846
Bemidji State University,1090,MN,Public,Unknown,0.7066,3120,24095
Bethany Lutheran College,1144,MN,Private,Unknown,0.5096,682,41080
Central Lakes College-Brainerd,1154,MN,Public,Unknown,0.7778,1486,7209
Carleton College,1491,MN,Private,Unknown,0.2228,2019,84893
Concordia College At Moorhead,1192,MN,Private,Unknown,0.6306,1721,46200
Concordia University-Saint Paul,1154,MN,Private,Unknown,0.7487,2786,41800
Dakota County Technical College,1154,MN,Public,Unknown,0.7778,2083,7619
Martin Luther College,1191,MN,Private,Unknown,0.8257,718,29250
Lake Superior College,1154,MN,Public,Unknown,0.7778,2456,7286
Minnesota State Community And Technical College,1154,MN,Public,Unknown,0.7778,2875,19760
Minnesota West Community And Technical College,1154,MN,Public,Unknown,0.7778,1700,19084
Gustavus Adolphus College,1320,MN,Private,Unknown,0.618,1930,67680
Hamline University,1197,MN,Private,Unknown,0.8983,1685,62261
Hazelden Betty Ford Graduate School,1154,MN,Private,Unknown,0.7778,1107,18700
Hennepin Technical College,1154,MN,Public,Unknown,0.7778,2827,7881
Minnesota North College,1154,MN,Public,Unknown,0.7778,1942,19386
Aveda Arts & Sciences Institute Minneapolis,1154,MN,Private,Unknown,0.7778,608,18700
Inver Hills Community College,1154,MN,Public,Unknown,0.7778,2203,7207
Luther Seminary,1154,MN,Private,Unknown,0.7778,1107,18700
Macalester College,1424,MN,Private,Unknown,0.2821,2131,82991
South Central College,1154,MN,Public,Unknown,0.7778,1890,7396
Minnesota State University-Mankato,1190,MN,Public,Unknown,0.9133,11325,24428
Mayo Clinic College Of Medicine And Science,1154,MN,Private,Unknown,0.3871,296,3457
Metropolitan State University,1020,MN,Public,Unknown,0.9649,4998,11280
University Of Minnesota-Twin Cities,1359,MN,Public,Unknown,0.7703,30469,32866
University Of Minnesota-Crookston,1154,MN,Public,Unknown,0.5838,1650,26672
Minneapolis College Of Art And Design,1170,MN,Private,Unknown,0.4836,701,60374
Minneapolis Community And Technical College,1154,MN,Public,Unknown,0.7778,4816,7128
Herzing University-Minneapolis,1154,MN,Private,Unknown,0.9382,747,13420
Nova Academy Of Cosmetology Woodbury,1154,MN,Private,Unknown,0.7778,56,18700
University Of Minnesota-Duluth,1221,MN,Public,Unknown,0.8175,7475,27972
University Of Minnesota-Morris,1154,MN,Public,Unknown,0.7046,980,27462
Model College Of Hair Design,1154,MN,Private,Unknown,0.7778,108,18700
Minnesota State University Moorhead,1090,MN,Public,Unknown,0.5262,3120,25700
North Hennepin Community College,1154,MN,Public,Unknown,0.7778,3299,6050
Normandale Community College,1154,MN,Public,Unknown,0.7778,6040,7321
North Central University,1154,MN,Private,Unknown,0.9082,802,44475
Northland Community And Technical College,1154,MN,Public,Unknown,0.7778,1382,7262
University Of Northwestern-St Paul,1244,MN,Private,Unknown,0.9188,1495,52262
Northwestern Health Sciences University,1154,MN,Private,Unknown,0.7778,251,13215
Oak Hills Christian College,1154,MN,Private,Unknown,0.7778,98,34909
Pine Technical & Community College,1154,MN,Public,Unknown,0.7778,569,7181
Rochester Community And Technical College,1154,MN,Public,Unknown,0.7778,3122,7959
College Of Saint Benedict,1185,MN,Private,Unknown,0.9136,1392,68544
St Cloud Technical And Community College,1154,MN,Public,Unknown,0.7778,2808,6257
Saint Cloud State University,1091,MN,Public,Unknown,0.9495,5181,23747
Saint Johns University,1220,MN,Private,Unknown,0.9048,1468,68572
Saint Mary'S University Of Minnesota,1154,MN,Private,Unknown,0.8881,1061,57380
St Olaf College,1373,MN,Private,Unknown,0.5215,3049,71870
Crown College,1154,MN,Private,Unknown,0.6281,789,46766
The College Of Saint Scholastica,1190,MN,Private,Unknown,0.9378,1725,55730
University Of St Thomas,1296,MN,Private,Unknown,0.8494,6014,68812
Empire Beauty School-Bloomington,1154,MN,Private,Unknown,0.7778,157,18700
St Catherine University,1190,MN,Private,Unknown,0.9407,2393,64744
Rasmussen University-Minnesota,1154,MN,Private,Unknown,0.7778,8033,10970
Saint Paul College,1154,MN,Public,Unknown,0.7778,3607,7518
Southwest Minnesota State University,1020,MN,Public,Unknown,0.6894,2045,25712
Summit Academy Opportunities Industrialization Center,1154,MN,Private,Unknown,0.7778,270,18700
United Theological Seminary Of The Twin Cities,1154,MN,Private,Unknown,0.7778,1107,18700
Dunwoody College Of Technology,1050,MN,Private,Unknown,0.9847,1417,44550
Ridgewater College,1154,MN,Public,Unknown,0.7778,2048,7309
Minnesota State College Southeast,1154,MN,Public,Unknown,0.7778,1198,9820
Winona State University,1119,MN,Public,Unknown,0.6852,5088,23962
Mitchell Hamline School Of Law,1154,MN,Private,Unknown,0.7778,1107,18700
Century College,1154,MN,Public,Unknown,0.7778,5971,7082
Alcorn State University,1039,MS,Public,Unknown,0.2466,2290,23744
Belhaven University,1050,MS,Private,Unknown,0.5325,1370,40245
Blue Mountain Christian University,1047,MS,Private,Unknown,1.0,536,33258
Chris Beauty College,1154,MS,Private,Unknown,0.7778,105,18700
Coahoma Community College,1154,MS,Public,Unknown,0.7778,1314,10810
Copiah-Lincoln Community College,1154,MS,Public,Unknown,0.7778,1948,13950
Delta State University,1091,MS,Public,Unknown,0.9968,1613,22532
East Central Community College,1154,MS,Public,Unknown,0.7778,1584,13039
East Mississippi Community College,1154,MS,Public,Unknown,0.7778,2914,13955
Fosters Cosmetology College,1154,MS,Private,Unknown,0.7778,22,18700
Academy Of Hair Design-Grenada,1154,MS,Private,Unknown,0.7778,33,18700
Hinds Community College,1154,MS,Public,Unknown,0.7778,6533,13049
Holmes Community College,1154,MS,Public,Unknown,0.7778,3847,13490
Itawamba Community College,1154,MS,Public,Unknown,0.7778,4018,12435
Jackson State University,974,MS,Public,Unknown,0.9103,4769,32988
Jones County Junior College,1154,MS,Public,Unknown,0.7778,3248,16054
Meridian Community College,1154,MS,Public,Unknown,0.7778,2025,14302
Millsaps College,1154,MS,Private,Unknown,0.4903,580,60467
