college_name,sat_score,state,institution_type,major,admission_rate,undergrad_enrollment,tuition
Northland Pioneer College,1154,AZ,Public,Unknown,0.7778,1024,3828
Phoenix College,1154,AZ,Public,Unknown,0.7778,6952,3462
Pima Community College,1154,AZ,Public,Unknown,0.7778,13869,4290
Pima Medical Institute-Tucson,1154,AZ,Private,Unknown,0.7778,2619,18700
Pima Medical Institute-Albuquerque,1154,NM,Private,Unknown,0.7778,737,18700
Prescott College,1154,AZ,Private,Unknown,0.9857,253,48561
Refrigeration School Inc,1154,AZ,Private,Unknown,0.7778,1271,18700
Rio Salado College,1154,AZ,Public,Unknown,0.7778,4879,3462
Roberto-Venn School Of Luthiery,1154,AZ,Private,Unknown,0.7778,15,18700
Scottsdale Community College,1154,AZ,Public,Unknown,0.7778,4274,3462
South Mountain Community College,1154,AZ,Public,Unknown,0.7778,2612,3462
Arizona Christian University,1154,AZ,Private,Unknown,0.7442,1127,56087
Universal Technical Institute Of Arizona Inc,1154,AZ,Private,Unknown,0.7778,1791,18700
Yavapai College,1154,AZ,Public,Unknown,0.7778,3732,17354
University Of Arkansas At Little Rock,1049,AR,Public,Unknown,0.5774,4740,25856
University Of Arkansas For Medical Sciences,1154,AR,Public,Unknown,0.7778,1361,18700
Arkansas Baptist College,1154,AR,Private,Unknown,0.7778,373,23060
Arkansas Beauty School-Little Rock,1154,AR,Private,Unknown,0.7778,111,18700
Arkansas Beauty College,1154,AR,Private,Unknown,0.7778,56,18700
Lyon College,1154,AR,Private,Unknown,0.6554,563,45750
Arkansas Technical School,1154,AR,Private,Unknown,0.7778,111,18700
University Of Arkansas,1174,AR,Public,Unknown,0.7167,27312,30008
University Of Arkansas At Pine Bluff,916,AR,Public,Unknown,0.5754,1899,23331
Arkansas State University-Beebe,1154,AR,Public,Unknown,0.7778,1902,19177
Arkansas State University,1119,AR,Public,Unknown,0.6967,7994,26226
Arkansas Tech University,1050,AR,Public,Unknown,0.9629,5993,23694
University Of Arkansas At Monticello,1154,AR,Public,Unknown,0.7778,1868,23098
Arthur'S Beauty College,1154,AR,Private,Unknown,0.7778,47,18700
Baptist Health College Little Rock,980,AR,Private,Unknown,1.0,512,15038
Black River Technical College,1154,AR,Public,Unknown,0.7778,938,7280
University Of Central Arkansas,1117,AR,Public,Unknown,0.9047,7426,25457
Central Baptist College,1022,AR,Private,Unknown,0.4636,477,32722
Cossatot Community College Of The University Of Arkansas,1154,AR,Public,Unknown,0.7778,835,4596
Crowley'S Ridge College,1154,AR,Private,Unknown,0.7778,162,29127
East Arkansas Community College,1154,AR,Public,Unknown,0.7778,492,6388
Paul Mitchell The School-Little Rock,1154,AR,Private,Unknown,0.7778,411,18700
National Park College,1154,AR,Public,Unknown,0.7778,1706,17650
University Of Arkansas Community College-Batesville,1154,AR,Public,Unknown,0.7778,788,4818
Harding University,1187,AR,Private,Unknown,1.0,3323,39298
Henderson State University,1154,AR,Public,Unknown,0.8192,1491,28841
Hendrix College,1336,AR,Private,Unknown,0.5298,1094,55444
Hot Springs Beauty College,1154,AR,Private,Unknown,0.7778,92,18700
